IUCR,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year
1153,0,1,1,0412,004,8,45,2001
0281,0,1,1,2222,022,21,73,2017
0620,0,1,1,0835,008,18,70,2017
0810,0,1,1,0313,003,20,42,2017
0281,0,1,1,0122,001,42,32,2017
0266,0,1,1,0731,007,6,69,2013
1751,0,1,0,0813,008,13,65,2015
1754,0,1,1,1033,010,12,30,2017
0810,0,1,1,1432,014,32,22,2017
1153,0,1,1,0123,001,2,32,2017
1310,0,1,1,0633,006,8,44,2017
2826,0,1,0,1711,017,39,13,2017
1153,0,1,1,0432,004,10,52,2012
0820,0,1,1,2432,024,40,1,2017
1752,0,1,1,0414,004,8,46,2017
1150,0,1,1,1922,019,44,6,2017
1153,0,1,1,0821,008,14,57,2014
2017,0,0,1,1524,015,28,25,2006
1753,0,1,0,0731,007,17,69,2015
1753,0,1,0,0731,007,17,69,2015
0810,0,1,1,2031,020,47,4,2017
1153,0,1,1,0722,007,20,68,2011
1154,0,1,1,0722,007,20,68,2013
0266,0,1,1,1121,011,27,23,2007
1754,0,0,0,0923,009,14,63,2011
1153,0,1,1,2022,020,48,77,2013
0890,0,1,1,2032,020,47,4,2017
1154,0,1,1,1834,018,42,8,2014
0266,0,1,1,0423,004,7,46,2015
1154,0,1,1,1921,019,47,5,2013
0266,0,1,1,0611,006,21,71,2010
1562,0,1,1,0731,007,6,68,2015
0266,0,1,1,0215,002,3,38,2015
0266,0,1,1,1023,010,28,30,2007
0291,0,1,1,0932,009,16,61,2015
1750,0,1,0,2525,025,30,22,2015
1751,0,1,0,0524,005,34,53,2017
0266,0,1,0,2515,025,30,19,2001
0281,0,1,0,1134,011,28,29,2008
0281,0,1,1,0814,008,23,56,2015
0610,0,1,1,0421,004,7,43,2016
1563,0,1,1,0824,008,15,63,2003
1582,0,1,1,0323,003,6,69,2017
0266,0,1,1,2513,025,36,25,2007
1562,0,1,1,1134,011,28,27,2017
1153,0,1,1,1113,011,28,26,2018
0460,0,1,1,1213,012,,,2001
1140,0,0,1,0111,001,42,32,2014
0810,0,1,1,0131,001,,,2001
1153,0,1,1,0332,003,5,43,2016
0810,0,1,1,1654,016,41,76,2017
1150,0,1,1,2411,024,50,2,2017
0281,0,1,1,1712,017,39,13,2016
2825,0,1,1,0131,001,3,33,2017
0820,0,1,1,1935,019,43,7,2018
1150,0,1,1,1231,012,2,28,2017
0820,0,1,1,0622,006,21,71,2017
1752,0,1,0,1723,017,39,14,2017
1153,0,1,1,1121,011,27,23,2014
0810,0,0,1,0813,008,23,56,2017
0890,0,1,1,1611,016,41,10,2017
0460,0,1,1,1824,018,,,2001
1562,0,1,1,1913,019,47,3,2017
2820,0,1,1,2433,024,48,77,2018
1154,0,1,1,0513,005,9,49,2016
0810,0,1,1,1651,016,41,76,2018
0870,0,1,1,1831,018,42,8,2017
2826,0,1,0,1213,012,1,24,2017
2820,0,1,1,2221,022,19,72,2016
0610,0,1,1,0511,005,9,49,2017
0820,0,1,1,1831,018,42,8,2013
0810,0,1,1,2521,025,31,19,2015
1153,0,1,1,0825,008,15,66,2017
1153,0,1,1,0421,004,7,43,2014
1153,0,1,1,0111,001,42,32,2017
1154,0,1,1,1422,014,26,22,2014
0265,0,0,0,0513,005,9,49,2017
1153,0,1,1,2413,024,50,2,2013
0265,0,1,0,2512,025,29,19,2013
1153,0,1,1,1924,019,44,6,2017
1153,0,1,1,0313,003,20,42,2014
1752,0,0,1,0922,009,12,58,2009
2825,0,1,0,0211,002,4,35,2017
1821,0,0,1,0312,003,20,42,2014
2027,0,0,1,1124,011,2,27,2014
1156,0,1,1,1712,017,40,13,2017
1152,0,1,1,1411,014,35,21,2017
1154,0,1,1,0834,008,18,70,2012
0890,0,1,1,1821,018,43,8,2018
1150,0,1,0,1132,011,24,26,2017
0820,0,1,1,0613,006,21,71,2017
1153,0,1,1,0223,002,4,39,2015
5002,0,1,1,0312,003,20,69,2017
1153,0,1,1,2412,024,50,2,2017
1153,0,1,1,1935,019,43,7,2017
0810,0,1,1,0114,001,42,32,2017
1153,0,1,1,2233,022,34,75,2014
1310,0,1,1,1834,018,42,8,2017
